Name,Address,District,Type,Lat,Long
The Orchard Satrio @ Ciputra World 2,"Jl. Prof. DR. Satrio No.Kav.11, RT.3/RW.3, Kuningan, Karet Semanggi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12930",South Jakarta,Building,-6.222653575,106.8192357
The Residence Satrio @ Ciputra World 2,"Ciputra World 2, Jl. Prof. DR. Satrio No.Kav. 11, RT.3/RW.3, Karet Semanggi, Setiabudi, South Jakarta City, Jakarta 12930",South Jakarta,Building,-6.222471717,106.8199026
Menara Kadin Indonesia,"Menara Kadin Indonrsia 32ndFloor, Jl. H. R. Rasuna Said No.Kav. 2-3, Jakarta, Daerah Khusus Ibukota Jakarta 12950",Central Jakarta,Building,-6.2325261,106.831957
Central Park Office Tower,"Central Park Tower, Jl. Letjen S. Parman No.Kav 28, RT.12/RW.7, Petamburan, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440",West Jakarta,Building,-6.17795943,106.790725
Apartment Botanica,"Jl. Arteri Pd. Indah No.8, RW.2, Grogol Sel., Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12220",South Jakarta,Building,-6.232709524,106.7900205
The Cosmopolitan Tower,"Jl. Kemang IE No.44, RT.13/RW.5, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730",South Jakarta,Building,-6.259907337,106.8118555
Tower Bloomington,"Jl. Kemang Raya No.18 D, RT.13/RW.5, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730",South Jakarta,Building,-6.259565184,106.812298
The Tiffany,"Jl. Pangeran Antasari No.36, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 1243",South Jakarta,Building,-6.25994367,106.812776
Sky Tower,"Jl. Setiabudi Selatan Raya RT.18/RW.2 South Jakarta, DKI Jakarta 12920",South Jakarta,Building,-6.215573511,106.8286468
ASTON Priority Simatupang & Conference Center,"No.Kav. 9, Jl. Let. Jend Jl. TB Simatupang No.2, RT.2/RW.2, Kebagusan, Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",South Jakarta,Building,-6.3013793,106.8351549
Ancol Mansion,"Jl. Pasir Putih II No.11, RW.10, Ancol, Kec. Pademangan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14430",North Jakarta,Building,-6.121745,106.845583
Sopo Del Tower,"Jalan Mega Kuningan Barat III Lot 10.1-6, RT.3/RW.3, Kuningan Tim., Kecamatan Setiabudi, Daerah Khusus Ibukota Jakarta 12950",South Jakarta,Building,-6.23041775,106.8236458
Centennial Tower,"Jl. Gatot Subroto No.24-25, RW.2, Karet Semanggi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12930",South Jakarta,Building,-6.230015922,106.8208286
